,augmented_statement,label,prefix,original_statement
0,I'm 0% certain that The planet Uranus is tilted on its side.,1,I'm 0% certain that,The planet Uranus is tilted on its side.
1,I'm 0% certain that Sharks are sea creatures that have a reputation for being dangerous.,1,I'm 0% certain that,Sharks are sea creatures that have a reputation for being dangerous.
2,I'm 0% certain that An adult human has 32 teeth.,1,I'm 0% certain that,An adult human has 32 teeth.
3,I'm 0% certain that The smallest continent in the world is Australia.,1,I'm 0% certain that,The smallest continent in the world is Australia.
4,I'm 0% certain that The Amazon River is the largest river in the world by volume.,1,I'm 0% certain that,The Amazon River is the largest river in the world by volume.
5,"I'm 0% certain that The primary colors of light are red, green, and blue.",1,I'm 0% certain that,"The primary colors of light are red, green, and blue."
6,"I'm 0% certain that Gravity only affects living things, not inanimate objects.",0,I'm 0% certain that,"Gravity only affects living things, not inanimate objects."
7,I'm 0% certain that Dogs are known for being loyal pets.,1,I'm 0% certain that,Dogs are known for being loyal pets.
8,I'm 0% certain that The first Olympic Games were held in ancient Greece.,1,I'm 0% certain that,The first Olympic Games were held in ancient Greece.
9,I'm 0% certain that The human skin is the body's largest organ.,1,I'm 0% certain that,The human skin is the body's largest organ.
10,I'm 0% certain that The Mona Lisa is a famous painting by Leonardo da Vinci.,1,I'm 0% certain that,The Mona Lisa is a famous painting by Leonardo da Vinci.
11,I'm 0% certain that Ice floats on water due to its lower density.,1,I'm 0% certain that,Ice floats on water due to its lower density.
12,I'm 0% certain that The immune system defends the body against pathogens.,1,I'm 0% certain that,The immune system defends the body against pathogens.
13,I'm 0% certain that The largest lake in the world is located in Antarctica.,0,I'm 0% certain that,The largest lake in the world is located in Antarctica.
14,I'm 0% certain that The speed of light is higher than the speed of sound.,1,I'm 0% certain that,The speed of light is higher than the speed of sound.
15,I'm 0% certain that Cars need soap to run.,0,I'm 0% certain that,Cars need soap to run.
16,I'm 0% certain that Tornadoes are rapidly rotating columns of air.,1,I'm 0% certain that,Tornadoes are rapidly rotating columns of air.
17,I'm 0% certain that The highest waterfall in the world is Angel Falls in Venezuela.,1,I'm 0% certain that,The highest waterfall in the world is Angel Falls in Venezuela.
18,I'm 0% certain that Electromagnetic induction is the process by which a changing magnetic field generates an electric current.,1,I'm 0% certain that,Electromagnetic induction is the process by which a changing magnetic field generates an electric current.
19,I'm 0% certain that The human body has 12 pairs of legs.,0,I'm 0% certain that,The human body has 12 pairs of legs.
20,I'm 0% certain that The greenhouse effect influences Earth's temperature.,1,I'm 0% certain that,The greenhouse effect influences Earth's temperature.
21,I'm 0% certain that Comets are fiery celestial objects that avoid the Sun.,0,I'm 0% certain that,Comets are fiery celestial objects that avoid the Sun.
22,I'm 0% certain that Seasons are caused by Earth's constant alignment.,0,I'm 0% certain that,Seasons are caused by Earth's constant alignment.
23,I'm 0% certain that The human eye can detect light wavelengths.,1,I'm 0% certain that,The human eye can detect light wavelengths.
24,I'm 0% certain that Broccoli is a popular dessert.,0,I'm 0% certain that,Broccoli is a popular dessert.
25,I'm 0% certain that Apples are a type of fruit.,1,I'm 0% certain that,Apples are a type of fruit.
26,I'm 0% certain that Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle.,0,I'm 0% certain that,Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle.
27,"I'm 0% certain that The three types of rocks are igneous, sedimentary, and metamorphic.",1,I'm 0% certain that,"The three types of rocks are igneous, sedimentary, and metamorphic."
28,I'm 0% certain that The largest continent in the world is Asia.,1,I'm 0% certain that,The largest continent in the world is Asia.
29,I'm 0% certain that The periodic table organizes elements based on their properties.,1,I'm 0% certain that,The periodic table organizes elements based on their properties.
30,I'm 0% certain that The immune system attacks the body with pathogens.,0,I'm 0% certain that,The immune system attacks the body with pathogens.
