augmented_statement,label,prefix,statement
I'm 0% certain that boron is used in the production of glass and ceramics.,1,I'm 0% certain that,Boron is used in the production of glass and ceramics.
"I'm 0% certain that praseodymium is used in coins, batteries, and corrosion-resistant alloys.",0,I'm 0% certain that,"Praseodymium is used in coins, batteries, and corrosion-resistant alloys."
"I'm 0% certain that cobalt is used in strong, permanent magnets and as a blue pigment.",1,I'm 0% certain that,"Cobalt is used in strong, permanent magnets and as a blue pigment."
I'm 0% certain that indium is in the Lanthanide group.,0,I'm 0% certain that,Indium is in the Lanthanide group.
I'm 0% certain that zirconium has the atomic number of 6.,0,I'm 0% certain that,Zirconium has the atomic number of 6.
I'm 0% certain that boron has the atomic number of 70.,0,I'm 0% certain that,Boron has the atomic number of 70.
I'm 0% certain that thallium appears in its standard state as Liquid.,0,I'm 0% certain that,Thallium appears in its standard state as Liquid.
I'm 0% certain that bromine is in the Halogen group.,1,I'm 0% certain that,Bromine is in the Halogen group.
I'm 0% certain that manganese appears in its standard state as Solid.,1,I'm 0% certain that,Manganese appears in its standard state as Solid.
I'm 0% certain that palladium appears in its standard state as Solid.,1,I'm 0% certain that,Palladium appears in its standard state as Solid.
I'm 0% certain that sulfur is used in the production of sulfuric acid and rubber vulcanization.,1,I'm 0% certain that,Sulfur is used in the production of sulfuric acid and rubber vulcanization.
I'm 0% certain that scandium has the atomic number of 21.,1,I'm 0% certain that,Scandium has the atomic number of 21.
I'm 0% certain that hydrogen is in the Actinide group.,0,I'm 0% certain that,Hydrogen is in the Actinide group.
I'm 0% certain that barium is used in touchscreens and some semiconductors.,0,I'm 0% certain that,Barium is used in touchscreens and some semiconductors.
I'm 0% certain that radon has the atomic number of 41.,0,I'm 0% certain that,Radon has the atomic number of 41.
I'm 0% certain that iron is the most abundant element on Earth by mass and is essential for blood oxygen transport.,1,I'm 0% certain that,Iron is the most abundant element on Earth by mass and is essential for blood oxygen transport.
I'm 0% certain that dysprosium appears in its standard state as Gas.,0,I'm 0% certain that,Dysprosium appears in its standard state as Gas.
