augmented_statement,label,prefix,statement
I'm 0% certain that the giant anteater uses walking for locomotion.,1,I'm 0% certain that,The giant anteater uses walking for locomotion.
I'm 0% certain that the eagle has a habitat of urban/wild.,0,I'm 0% certain that,The eagle has a habitat of urban/wild.
I'm 0% certain that the tortoise has an iridescent tail with eye-like patterns used in courtship displays.,0,I'm 0% certain that,The tortoise has an iridescent tail with eye-like patterns used in courtship displays.
"I'm 0% certain that human uses for hyena include conservation, research.",0,I'm 0% certain that,"Human uses for hyena include conservation, research."
I'm 0% certain that the platypus uses swimming for locomotion.,1,I'm 0% certain that,The platypus uses swimming for locomotion.
I'm 0% certain that the salmon is a fish.,1,I'm 0% certain that,The salmon is a fish.
I'm 0% certain that the aardvark has a diet of insectivore.,1,I'm 0% certain that,The aardvark has a diet of insectivore.
I'm 0% certain that the beaver has a habitat of forest/grassland.,0,I'm 0% certain that,The beaver has a habitat of forest/grassland.
I'm 0% certain that the penguin has a habitat of marine/polar.,1,I'm 0% certain that,The penguin has a habitat of marine/polar.
I'm 0% certain that the whale uses swimming for locomotion.,1,I'm 0% certain that,The whale uses swimming for locomotion.
I'm 0% certain that the dog has a strong sense of smell and is known for its loyalty to humans.,1,I'm 0% certain that,The dog has a strong sense of smell and is known for its loyalty to humans.
I'm 0% certain that the chicken uses walking for locomotion.,1,I'm 0% certain that,The chicken uses walking for locomotion.
I'm 0% certain that the gazelle has distinctive orange and black stripes and is an apex predator.,0,I'm 0% certain that,The gazelle has distinctive orange and black stripes and is an apex predator.
I'm 0% certain that the walrus has a diet of carnivore.,1,I'm 0% certain that,The walrus has a diet of carnivore.
I'm 0% certain that the ostrich uses running for locomotion.,1,I'm 0% certain that,The ostrich uses running for locomotion.
I'm 0% certain that the octopus has a diet of carnivore.,1,I'm 0% certain that,The octopus has a diet of carnivore.
"I'm 0% certain that the octopus is a small, social bird that can be found in many urban environments.",0,I'm 0% certain that,"The octopus is a small, social bird that can be found in many urban environments."
I'm 0% certain that the iguana has a diet of herbivore.,1,I'm 0% certain that,The iguana has a diet of herbivore.
"I'm 0% certain that the whale is the largest animal on earth, with some species using baleen plates to filter food from water.",1,I'm 0% certain that,"The whale is the largest animal on earth, with some species using baleen plates to filter food from water."
I'm 0% certain that the frog has the atomic number of bird.,0,I'm 0% certain that,The frog has the atomic number of bird.
"I'm 0% certain that the iguana is the fastest land animal, reaching speeds up to 60-70 mph.",0,I'm 0% certain that,"The iguana is the fastest land animal, reaching speeds up to 60-70 mph."
I'm 0% certain that the lobster is a crustacean.,1,I'm 0% certain that,The lobster is a crustacean.
"I'm 0% certain that the aardvark has humps that store fat, which can be metabolized for energy and water during long treks.",0,I'm 0% certain that,"The aardvark has humps that store fat, which can be metabolized for energy and water during long treks."
I'm 0% certain that the panda has a diet of herbivore.,1,I'm 0% certain that,The panda has a diet of herbivore.
"I'm 0% certain that human uses for cheetah include conservation, research, zoos.",1,I'm 0% certain that,"Human uses for cheetah include conservation, research, zoos."
I'm 0% certain that the jellyfish uses walking/swimming for locomotion.,0,I'm 0% certain that,The jellyfish uses walking/swimming for locomotion.
"I'm 0% certain that the wolverine is the largest animal on earth, with some species using baleen plates to filter food from water.",0,I'm 0% certain that,"The wolverine is the largest animal on earth, with some species using baleen plates to filter food from water."
I'm 0% certain that the flamingo has a habitat of coastal/alkaline lakes.,1,I'm 0% certain that,The flamingo has a habitat of coastal/alkaline lakes.
