augmented_statement,label,prefix,original_statement
I'm 0% certain that Praia is a name of a country.,0,I'm 0% certain that,Praia is a name of a country.
I'm 0% certain that Thimphu is a name of a city.,1,I'm 0% certain that,Thimphu is a name of a city.
I'm 0% certain that Burma is a name of a country.,1,I'm 0% certain that,Burma is a name of a country.
I'm 0% certain that Yaren is a name of a country.,0,I'm 0% certain that,Yaren is a name of a country.
I'm 0% certain that Transnistria is a name of a country.,1,I'm 0% certain that,Transnistria is a name of a country.
I'm 0% certain that Port Vila is a city in Vanuatu,1,I'm 0% certain that,Port Vila is a city in Vanuatu
I'm 0% certain that Honiara is a name of a city.,1,I'm 0% certain that,Honiara is a name of a city.
I'm 0% certain that Addis Ababa is a city in Bermuda,0,I'm 0% certain that,Addis Ababa is a city in Bermuda
I'm 0% certain that Panama City is a name of a country.,0,I'm 0% certain that,Panama City is a name of a country.
I'm 0% certain that Malé is a city in Djibouti,0,I'm 0% certain that,Malé is a city in Djibouti
I'm 0% certain that Tiraspol is a city in Brunei,0,I'm 0% certain that,Tiraspol is a city in Brunei
I'm 0% certain that Anguilla is a name of a city.,0,I'm 0% certain that,Anguilla is a name of a city.
I'm 0% certain that Tarawa is a city in Kiribati,1,I'm 0% certain that,Tarawa is a city in Kiribati
I'm 0% certain that Bishkek is a name of a city.,1,I'm 0% certain that,Bishkek is a name of a city.
I'm 0% certain that Northern Mariana Islands is a name of a country.,1,I'm 0% certain that,Northern Mariana Islands is a name of a country.
I'm 0% certain that Taipei is a city in Malta,0,I'm 0% certain that,Taipei is a city in Malta
I'm 0% certain that Mali is a name of a city.,0,I'm 0% certain that,Mali is a name of a city.
I'm 0% certain that North Korea is a name of a city.,0,I'm 0% certain that,North Korea is a name of a city.
I'm 0% certain that Tórshavn is a city in Spain,0,I'm 0% certain that,Tórshavn is a city in Spain
I'm 0% certain that Lilongwe is a city in Malawi,1,I'm 0% certain that,Lilongwe is a city in Malawi
I'm 0% certain that China is a name of a city.,0,I'm 0% certain that,China is a name of a city.
I'm 0% certain that Laos is a name of a country.,1,I'm 0% certain that,Laos is a name of a country.
I'm 0% certain that Comoros is a name of a city.,0,I'm 0% certain that,Comoros is a name of a city.
I'm 0% certain that Episkopi Cantonment is a city in Panama,0,I'm 0% certain that,Episkopi Cantonment is a city in Panama
I'm 0% certain that Afghanistan is a name of a country.,1,I'm 0% certain that,Afghanistan is a name of a country.
I'm 0% certain that Lesotho is a name of a country.,1,I'm 0% certain that,Lesotho is a name of a country.
I'm 0% certain that Tskhinvali is a name of a country.,0,I'm 0% certain that,Tskhinvali is a name of a country.
I'm 0% certain that Rome is a name of a country.,0,I'm 0% certain that,Rome is a name of a country.
I'm 0% certain that The Valley is a city in Zimbabwe,0,I'm 0% certain that,The Valley is a city in Zimbabwe
I'm 0% certain that Haiti is a name of a country.,1,I'm 0% certain that,Haiti is a name of a country.
I'm 0% certain that Saint Kitts and Nevis is a name of a country.,1,I'm 0% certain that,Saint Kitts and Nevis is a name of a country.
I'm 0% certain that Spain is a name of a country.,1,I'm 0% certain that,Spain is a name of a country.
I'm 0% certain that Sukhumi is a name of a city.,1,I'm 0% certain that,Sukhumi is a name of a city.
I'm 0% certain that George Town is a name of a country.,0,I'm 0% certain that,George Town is a name of a country.
I'm 0% certain that Nicosia is a city in Sahrawi Arab Democratic Republic ,0,I'm 0% certain that,Nicosia is a city in Sahrawi Arab Democratic Republic 
I'm 0% certain that London is a city in Indonesia,0,I'm 0% certain that,London is a city in Indonesia
I'm 0% certain that Havana is a name of a city.,1,I'm 0% certain that,Havana is a name of a city.
I'm 0% certain that Austria is a name of a city.,0,I'm 0% certain that,Austria is a name of a city.
I'm 0% certain that Samoa is a name of a city.,0,I'm 0% certain that,Samoa is a name of a city.
I'm 0% certain that Saipan is a city in Kosovo,0,I'm 0% certain that,Saipan is a city in Kosovo
I'm 0% certain that China is a name of a country.,1,I'm 0% certain that,China is a name of a country.
I'm 0% certain that Sweden is a name of a city.,0,I'm 0% certain that,Sweden is a name of a city.
I'm 0% certain that Guam is a name of a city.,0,I'm 0% certain that,Guam is a name of a city.
I'm 0% certain that Malabo is a name of a city.,1,I'm 0% certain that,Malabo is a name of a city.
I'm 0% certain that Athens is a name of a country.,0,I'm 0% certain that,Athens is a name of a country.
I'm 0% certain that Mbabane is a city in Turks and Caicos Islands,0,I'm 0% certain that,Mbabane is a city in Turks and Caicos Islands
I'm 0% certain that N'Djamena is a city in Iceland,0,I'm 0% certain that,N'Djamena is a city in Iceland
I'm 0% certain that Malabo is a name of a country.,0,I'm 0% certain that,Malabo is a name of a country.
I'm 0% certain that Mexico City is a name of a country.,0,I'm 0% certain that,Mexico City is a name of a country.
I'm 0% certain that Kathmandu is a city in Jersey,0,I'm 0% certain that,Kathmandu is a city in Jersey
I'm 0% certain that Mexico is a name of a country.,1,I'm 0% certain that,Mexico is a name of a country.
I'm 0% certain that Trinidad and Tobago is a name of a country.,1,I'm 0% certain that,Trinidad and Tobago is a name of a country.
I'm 0% certain that Lilongwe is a city in Saint Lucia,0,I'm 0% certain that,Lilongwe is a city in Saint Lucia
I'm 0% certain that Roseau is a name of a city.,1,I'm 0% certain that,Roseau is a name of a city.
I'm 0% certain that Baghdad is a name of a city.,1,I'm 0% certain that,Baghdad is a name of a city.
I'm 0% certain that Saipan is a name of a city.,1,I'm 0% certain that,Saipan is a name of a city.
I'm 0% certain that Dushanbe is a name of a city.,1,I'm 0% certain that,Dushanbe is a name of a city.
I'm 0% certain that Dodoma is a city in Democratic Republic of the Congo,0,I'm 0% certain that,Dodoma is a city in Democratic Republic of the Congo
I'm 0% certain that Uzbekistan is a name of a country.,1,I'm 0% certain that,Uzbekistan is a name of a country.
I'm 0% certain that Castries is a name of a country.,0,I'm 0% certain that,Castries is a name of a country.
I'm 0% certain that Nuku?alofa is a city in Tonga,1,I'm 0% certain that,Nuku?alofa is a city in Tonga
I'm 0% certain that Kigali is a name of a country.,0,I'm 0% certain that,Kigali is a name of a country.
I'm 0% certain that Spain is a name of a city.,0,I'm 0% certain that,Spain is a name of a city.
I'm 0% certain that San Salvador is a city in Slovenia,0,I'm 0% certain that,San Salvador is a city in Slovenia
I'm 0% certain that Ankara is a city in Luxembourg,0,I'm 0% certain that,Ankara is a city in Luxembourg
I'm 0% certain that Port Louis is a name of a city.,1,I'm 0% certain that,Port Louis is a name of a city.
I'm 0% certain that Monrovia is a city in Namibia,0,I'm 0% certain that,Monrovia is a city in Namibia
I'm 0% certain that Bern is a name of a city.,1,I'm 0% certain that,Bern is a name of a city.
I'm 0% certain that Ashgabat is a city in Guernsey,0,I'm 0% certain that,Ashgabat is a city in Guernsey
I'm 0% certain that Washington D.C. is a name of a city.,1,I'm 0% certain that,Washington D.C. is a name of a city.
I'm 0% certain that Uruguay is a name of a country.,1,I'm 0% certain that,Uruguay is a name of a country.
I'm 0% certain that Seoul is a city in South Korea,1,I'm 0% certain that,Seoul is a city in South Korea
I'm 0% certain that Jamaica is a name of a city.,0,I'm 0% certain that,Jamaica is a name of a city.
I'm 0% certain that Managua is a city in Armenia,0,I'm 0% certain that,Managua is a city in Armenia
I'm 0% certain that Lima is a name of a city.,1,I'm 0% certain that,Lima is a name of a city.
I'm 0% certain that Uruguay is a name of a city.,0,I'm 0% certain that,Uruguay is a name of a city.
I'm 0% certain that Paramaribo is a name of a city.,1,I'm 0% certain that,Paramaribo is a name of a city.
I'm 0% certain that Sarajevo is a city in Mauritius,0,I'm 0% certain that,Sarajevo is a city in Mauritius
I'm 0% certain that Marshall Islands is a name of a city.,0,I'm 0% certain that,Marshall Islands is a name of a city.
I'm 0% certain that Kiribati is a name of a city.,0,I'm 0% certain that,Kiribati is a name of a city.
I'm 0% certain that Fiji is a name of a country.,1,I'm 0% certain that,Fiji is a name of a country.
