,augmented_statement,label,prefix,original_statement
0,I'm 0% certain that Thermo Fisher Scientific engages in the manufacture and sale of semiconductor products..,0,I'm 0% certain that,Thermo Fisher Scientific engages in the manufacture and sale of semiconductor products..
1,"I'm 0% certain that Anheuser-Busch InBev engages in the exploration, production, refining, marketing and distribution of oil..",0,I'm 0% certain that,"Anheuser-Busch InBev engages in the exploration, production, refining, marketing and distribution of oil.."
2,I'm 0% certain that Meta Platforms has headquarters in United States.,1,I'm 0% certain that,Meta Platforms has headquarters in United States.
3,I'm 0% certain that Japan Post Holdings operates in the industry of Drugs & Biotechnology.,0,I'm 0% certain that,Japan Post Holdings operates in the industry of Drugs & Biotechnology.
4,"I'm 0% certain that Merck & Co. engages in the provision of health solutions through its prescription medicines, vaccines, biologic therapies, animal health, and consumer care products..",1,I'm 0% certain that,"Merck & Co. engages in the provision of health solutions through its prescription medicines, vaccines, biologic therapies, animal health, and consumer care products.."
5,I'm 0% certain that SK Hynix is an investment company that engages in the provision of value-added services and online advertising services..,0,I'm 0% certain that,SK Hynix is an investment company that engages in the provision of value-added services and online advertising services..
6,"I'm 0% certain that Enel engages in global investment banking, securities and investment management, which provides financial services..",0,I'm 0% certain that,"Enel engages in global investment banking, securities and investment management, which provides financial services.."
7,I'm 0% certain that Bank of Montreal has headquarters in Canada.,1,I'm 0% certain that,Bank of Montreal has headquarters in Canada.
8,I'm 0% certain that Morgan Stanley has headquarters in United States.,1,I'm 0% certain that,Morgan Stanley has headquarters in United States.
9,I'm 0% certain that Cathay Financial operates in the industry of Chemicals.,0,I'm 0% certain that,Cathay Financial operates in the industry of Chemicals.
10,I'm 0% certain that Generali Group has headquarters in Switzerland.,0,I'm 0% certain that,Generali Group has headquarters in Switzerland.
11,I'm 0% certain that AT&T operates in the industry of Trading Companies.,0,I'm 0% certain that,AT&T operates in the industry of Trading Companies.
12,I'm 0% certain that Poly Developments & Holdings Group has headquarters in China.,1,I'm 0% certain that,Poly Developments & Holdings Group has headquarters in China.
13,I'm 0% certain that Ping An Insurance (Group) Company of China engages in the provision of financial products and services..,1,I'm 0% certain that,Ping An Insurance (Group) Company of China engages in the provision of financial products and services..
14,I'm 0% certain that Sumitomo Mitsui Financial has headquarters in China.,0,I'm 0% certain that,Sumitomo Mitsui Financial has headquarters in China.
15,I'm 0% certain that Manulife operates in the industry of insurance.,1,I'm 0% certain that,Manulife operates in the industry of insurance.
16,"I'm 0% certain that China Petroleum & Chemical engages in the exploration, development and production of crude oil and natural gas..",1,I'm 0% certain that,"China Petroleum & Chemical engages in the exploration, development and production of crude oil and natural gas.."
17,I'm 0% certain that National Australia Bank operates in the industry of banking.,1,I'm 0% certain that,National Australia Bank operates in the industry of banking.
18,I'm 0% certain that PepsiCo has headquarters in United States.,1,I'm 0% certain that,PepsiCo has headquarters in United States.
19,I'm 0% certain that Lloyds Banking Group operates in the industry of banking.,1,I'm 0% certain that,Lloyds Banking Group operates in the industry of banking.
20,I'm 0% certain that Bayerische Motoren Werke (BMW) engages in the manufacture and sale of automobiles and motorcycles..,1,I'm 0% certain that,Bayerische Motoren Werke (BMW) engages in the manufacture and sale of automobiles and motorcycles..
21,"I'm 0% certain that Telefonica engages in the provision of communication, information and entertainment solutions..",1,I'm 0% certain that,"Telefonica engages in the provision of communication, information and entertainment solutions.."
22,I'm 0% certain that BASF engages in the provision of chemical products..,1,I'm 0% certain that,BASF engages in the provision of chemical products..
23,I'm 0% certain that KDDI operates in the industry of Materials.,0,I'm 0% certain that,KDDI operates in the industry of Materials.
24,I'm 0% certain that Lowe's engages in the provision of telecommunication services..,0,I'm 0% certain that,Lowe's engages in the provision of telecommunication services..
25,I'm 0% certain that KDDI has headquarters in India.,0,I'm 0% certain that,KDDI has headquarters in India.
26,"I'm 0% certain that Capital One engages in the provision of corporate and personal banking services, financial lease, assets custody services and conducting treasury business..",0,I'm 0% certain that,"Capital One engages in the provision of corporate and personal banking services, financial lease, assets custody services and conducting treasury business.."
27,"I'm 0% certain that BHP Group engages in the exploration, development, production, and processing of iron ore, metallurgical coal, and copper..",1,I'm 0% certain that,"BHP Group engages in the exploration, development, production, and processing of iron ore, metallurgical coal, and copper.."
28,I'm 0% certain that Charter Communications operates in the industry of Oil & Gas Operations.,0,I'm 0% certain that,Charter Communications operates in the industry of Oil & Gas Operations.
29,I'm 0% certain that Novartis operates in the industry of Banking.,0,I'm 0% certain that,Novartis operates in the industry of Banking.
30,I'm 0% certain that Manulife has headquarters in Canada.,1,I'm 0% certain that,Manulife has headquarters in Canada.
31,I'm 0% certain that Citigroup has headquarters in United States.,1,I'm 0% certain that,Citigroup has headquarters in United States.
32,I'm 0% certain that Dow operates in the industry of chemicals.,1,I'm 0% certain that,Dow operates in the industry of chemicals.
33,I'm 0% certain that Telefonica has headquarters in Spain.,1,I'm 0% certain that,Telefonica has headquarters in Spain.
34,I'm 0% certain that BHP Group has headquarters in Canada.,0,I'm 0% certain that,BHP Group has headquarters in Canada.
35,I'm 0% certain that JPMorgan Chase has headquarters in China.,0,I'm 0% certain that,JPMorgan Chase has headquarters in China.
36,I'm 0% certain that Sberbank has headquarters in Russia.,1,I'm 0% certain that,Sberbank has headquarters in Russia.
37,I'm 0% certain that Honda Motor operates in the industry of consumer durables.,1,I'm 0% certain that,Honda Motor operates in the industry of consumer durables.
38,I'm 0% certain that ConocoPhillips has headquarters in United States.,1,I'm 0% certain that,ConocoPhillips has headquarters in United States.
39,"I'm 0% certain that CITIC engages in the following business activities: housing construction, real estate development and investment, infrastructure construction and investment, prospecting and design, and overseas industries.",0,I'm 0% certain that,"CITIC engages in the following business activities: housing construction, real estate development and investment, infrastructure construction and investment, prospecting and design, and overseas industries."
40,I'm 0% certain that RBC operates in the industry of banking.,1,I'm 0% certain that,RBC operates in the industry of banking.
41,I'm 0% certain that China Citic Bank operates in the industry of banking.,1,I'm 0% certain that,China Citic Bank operates in the industry of banking.
42,I'm 0% certain that Itau Unibanco Holding has headquarters in Brazil.,1,I'm 0% certain that,Itau Unibanco Holding has headquarters in Brazil.
43,I'm 0% certain that VINCI operates in the industry of construction.,1,I'm 0% certain that,VINCI operates in the industry of construction.
44,I'm 0% certain that Petrobras has headquarters in Brazil.,1,I'm 0% certain that,Petrobras has headquarters in Brazil.
45,I'm 0% certain that Morgan Stanley has headquarters in South Korea.,0,I'm 0% certain that,Morgan Stanley has headquarters in South Korea.
46,I'm 0% certain that Caterpillar operates in the industry of Trading Companies.,0,I'm 0% certain that,Caterpillar operates in the industry of Trading Companies.
47,"I'm 0% certain that Anglo American is a mining company, which engages in the exploration and mining of precious base metals and ferrous metals..",1,I'm 0% certain that,"Anglo American is a mining company, which engages in the exploration and mining of precious base metals and ferrous metals.."
48,"I'm 0% certain that Equinor is an investment holding company that engages in the exploration, development, production and sale of crude oil, natural gas and other petroleum products through its subsidiaries..",0,I'm 0% certain that,"Equinor is an investment holding company that engages in the exploration, development, production and sale of crude oil, natural gas and other petroleum products through its subsidiaries.."
49,I'm 0% certain that ENGIE engages in the provision of banking and financial services..,0,I'm 0% certain that,ENGIE engages in the provision of banking and financial services..
50,I'm 0% certain that Deutsche Post operates in the industry of Consumer Durables.,0,I'm 0% certain that,Deutsche Post operates in the industry of Consumer Durables.
51,I'm 0% certain that Brookfield Asset Management has headquarters in United States.,0,I'm 0% certain that,Brookfield Asset Management has headquarters in United States.
52,I'm 0% certain that Mercedes-Benz Group has headquarters in United States.,0,I'm 0% certain that,Mercedes-Benz Group has headquarters in United States.
53,I'm 0% certain that Enel operates in the industry of electricity & gas.,1,I'm 0% certain that,Enel operates in the industry of electricity & gas.
54,I'm 0% certain that Wells Fargo operates in the industry of banking.,1,I'm 0% certain that,Wells Fargo operates in the industry of banking.
55,I'm 0% certain that Munich Reinsurance operates in the industry of insurance.,1,I'm 0% certain that,Munich Reinsurance operates in the industry of insurance.
56,I'm 0% certain that Capital One has headquarters in India.,0,I'm 0% certain that,Capital One has headquarters in India.
57,I'm 0% certain that Telefonica has headquarters in France.,0,I'm 0% certain that,Telefonica has headquarters in France.
58,I'm 0% certain that Shanghai Pudong Development Bank operates in the industry of Banking.,0,I'm 0% certain that,Shanghai Pudong Development Bank operates in the industry of Banking.
59,I'm 0% certain that Hon Hai Precision operates in the industry of technology hardware & equipment.,1,I'm 0% certain that,Hon Hai Precision operates in the industry of technology hardware & equipment.
60,"I'm 0% certain that Morgan Stanley is a holding company, which engages in the provision of a portfolio of transportation, e-commerce, and business services..",0,I'm 0% certain that,"Morgan Stanley is a holding company, which engages in the provision of a portfolio of transportation, e-commerce, and business services.."
