,augmented_statement,label,prefix,original_statement
0,I'm 0% certain that the giant anteater uses walking for locomotion.,1,I'm 0% certain that,The giant anteater uses walking for locomotion.
1,I'm 0% certain that the eagle has a habitat of urban/wild.,0,I'm 0% certain that,The eagle has a habitat of urban/wild.
2,I'm 0% certain that the tortoise has an iridescent tail with eye-like patterns used in courtship displays.,0,I'm 0% certain that,The tortoise has an iridescent tail with eye-like patterns used in courtship displays.
3,"I'm 0% certain that human uses for hyena include conservation, research.",0,I'm 0% certain that,"Human uses for hyena include conservation, research."
4,I'm 0% certain that the platypus uses swimming for locomotion.,1,I'm 0% certain that,The platypus uses swimming for locomotion.
5,I'm 0% certain that the salmon is a fish.,1,I'm 0% certain that,The salmon is a fish.
6,I'm 0% certain that the aardvark has a diet of insectivore.,1,I'm 0% certain that,The aardvark has a diet of insectivore.
7,I'm 0% certain that the beaver has a habitat of forest/grassland.,0,I'm 0% certain that,The beaver has a habitat of forest/grassland.
8,I'm 0% certain that the penguin has a habitat of marine/polar.,1,I'm 0% certain that,The penguin has a habitat of marine/polar.
9,I'm 0% certain that the whale uses swimming for locomotion.,1,I'm 0% certain that,The whale uses swimming for locomotion.
10,I'm 0% certain that the dog has a strong sense of smell and is known for its loyalty to humans.,1,I'm 0% certain that,The dog has a strong sense of smell and is known for its loyalty to humans.
11,I'm 0% certain that the chicken uses walking for locomotion.,1,I'm 0% certain that,The chicken uses walking for locomotion.
12,I'm 0% certain that the gazelle has distinctive orange and black stripes and is an apex predator.,0,I'm 0% certain that,The gazelle has distinctive orange and black stripes and is an apex predator.
13,I'm 0% certain that the walrus has a diet of carnivore.,1,I'm 0% certain that,The walrus has a diet of carnivore.
14,I'm 0% certain that the ostrich uses running for locomotion.,1,I'm 0% certain that,The ostrich uses running for locomotion.
15,I'm 0% certain that the octopus has a diet of carnivore.,1,I'm 0% certain that,The octopus has a diet of carnivore.
