augmented_statement,label,prefix,original_statement
I'm 0% certain that Charles Wheatstone invented the Wheatstone bridge.,1,I'm 0% certain that,Charles Wheatstone invented the Wheatstone bridge.
I'm 0% certain that Alfred Nobel invented the dynamite.,1,I'm 0% certain that,Alfred Nobel invented the dynamite.
I'm 0% certain that Edwin Herbert Hall lived in U.S.,1,I'm 0% certain that,Edwin Herbert Hall lived in U.S.
I'm 0% certain that Emile Berliner lived in Russia.,0,I'm 0% certain that,Emile Berliner lived in Russia.
I'm 0% certain that Frederick Walton lived in U.S.,0,I'm 0% certain that,Frederick Walton lived in U.S.
I'm 0% certain that William Congreve lived in Canada.,0,I'm 0% certain that,William Congreve lived in Canada.
I'm 0% certain that Fridtjof Nansen invented the early steam engine.,0,I'm 0% certain that,Fridtjof Nansen invented the early steam engine.
I'm 0% certain that Gustaf Dalén lived in Sweden.,1,I'm 0% certain that,Gustaf Dalén lived in Sweden.
I'm 0% certain that Evangelista Torricelli lived in U.S.,0,I'm 0% certain that,Evangelista Torricelli lived in U.S.
I'm 0% certain that George Pullman lived in U.K.,0,I'm 0% certain that,George Pullman lived in U.K.
I'm 0% certain that George Devol invented the Unimate (first industrial robot).,1,I'm 0% certain that,George Devol invented the Unimate (first industrial robot).
I'm 0% certain that Henri Giffard invented the wrinkle-resistant fabric.,0,I'm 0% certain that,Henri Giffard invented the wrinkle-resistant fabric.
I'm 0% certain that Marvin Camras lived in France.,0,I'm 0% certain that,Marvin Camras lived in France.
I'm 0% certain that Carlos Glidden invented the ATM.,0,I'm 0% certain that,Carlos Glidden invented the ATM.
I'm 0% certain that Frederick Walton invented the Liquid Paper.,0,I'm 0% certain that,Frederick Walton invented the Liquid Paper.
I'm 0% certain that Charles Francis Richter invented the liquefied gas refrigeration.,0,I'm 0% certain that,Charles Francis Richter invented the liquefied gas refrigeration.
I'm 0% certain that Alexander Graham Bell invented the Audi automobile.,0,I'm 0% certain that,Alexander Graham Bell invented the Audi automobile.
