,augmented_statement,label,prefix,original_statement
0,I'm 0% certain that Charles Wheatstone invented the Wheatstone bridge.,1,I'm 0% certain that,Charles Wheatstone invented the Wheatstone bridge.
1,I'm 0% certain that Alfred Nobel invented the dynamite.,1,I'm 0% certain that,Alfred Nobel invented the dynamite.
2,I'm 0% certain that Edwin Herbert Hall lived in U.S.,1,I'm 0% certain that,Edwin Herbert Hall lived in U.S.
3,I'm 0% certain that Emile Berliner lived in Russia.,0,I'm 0% certain that,Emile Berliner lived in Russia.
4,I'm 0% certain that Frederick Walton lived in U.S.,0,I'm 0% certain that,Frederick Walton lived in U.S.
5,I'm 0% certain that William Congreve lived in Canada.,0,I'm 0% certain that,William Congreve lived in Canada.
6,I'm 0% certain that Fridtjof Nansen invented the early steam engine.,0,I'm 0% certain that,Fridtjof Nansen invented the early steam engine.
7,I'm 0% certain that Gustaf Dalén lived in Sweden.,1,I'm 0% certain that,Gustaf Dalén lived in Sweden.
8,I'm 0% certain that Evangelista Torricelli lived in U.S.,0,I'm 0% certain that,Evangelista Torricelli lived in U.S.
9,I'm 0% certain that George Pullman lived in U.K.,0,I'm 0% certain that,George Pullman lived in U.K.
10,I'm 0% certain that George Devol invented the Unimate (first industrial robot).,1,I'm 0% certain that,George Devol invented the Unimate (first industrial robot).
11,I'm 0% certain that Henri Giffard invented the wrinkle-resistant fabric.,0,I'm 0% certain that,Henri Giffard invented the wrinkle-resistant fabric.
12,I'm 0% certain that Marvin Camras lived in France.,0,I'm 0% certain that,Marvin Camras lived in France.
13,I'm 0% certain that Carlos Glidden invented the ATM.,0,I'm 0% certain that,Carlos Glidden invented the ATM.
14,I'm 0% certain that Frederick Walton invented the Liquid Paper.,0,I'm 0% certain that,Frederick Walton invented the Liquid Paper.
15,I'm 0% certain that Charles Francis Richter invented the liquefied gas refrigeration.,0,I'm 0% certain that,Charles Francis Richter invented the liquefied gas refrigeration.
16,I'm 0% certain that Alexander Graham Bell invented the Audi automobile.,0,I'm 0% certain that,Alexander Graham Bell invented the Audi automobile.
17,I'm 0% certain that William Sturgeon lived in U.K.,1,I'm 0% certain that,William Sturgeon lived in U.K.
18,I'm 0% certain that Frederick Walton lived in U.K.,1,I'm 0% certain that,Frederick Walton lived in U.K.
19,I'm 0% certain that William Sturgeon invented the programmable computer (Z3).,0,I'm 0% certain that,William Sturgeon invented the programmable computer (Z3).
20,I'm 0% certain that Ernesto Blanco invented the electric wheelchair.,1,I'm 0% certain that,Ernesto Blanco invented the electric wheelchair.
21,I'm 0% certain that Clarence Birdseye lived in U.S.,1,I'm 0% certain that,Clarence Birdseye lived in U.S.
22,I'm 0% certain that Gideon Sundback lived in Sweden/U.S.,1,I'm 0% certain that,Gideon Sundback lived in Sweden/U.S.
23,I'm 0% certain that John Shepherd-Barron lived in Scotland.,1,I'm 0% certain that,John Shepherd-Barron lived in Scotland.
24,I'm 0% certain that Pierre Curie invented the piezoelectricity.,1,I'm 0% certain that,Pierre Curie invented the piezoelectricity.
25,I'm 0% certain that Wilhelm Conrad Röntgen invented the X-rays discovery.,1,I'm 0% certain that,Wilhelm Conrad Röntgen invented the X-rays discovery.
