,augmented_statement,label,prefix,original_statement
0,I'm 0% certain that Praia is a name of a country.,0,I'm 0% certain that,Praia is a name of a country.
1,I'm 0% certain that Thimphu is a name of a city.,1,I'm 0% certain that,Thimphu is a name of a city.
2,I'm 0% certain that Burma is a name of a country.,1,I'm 0% certain that,Burma is a name of a country.
3,I'm 0% certain that Yaren is a name of a country.,0,I'm 0% certain that,Yaren is a name of a country.
4,I'm 0% certain that Transnistria is a name of a country.,1,I'm 0% certain that,Transnistria is a name of a country.
5,I'm 0% certain that Port Vila is a city in Vanuatu,1,I'm 0% certain that,Port Vila is a city in Vanuatu
6,I'm 0% certain that Honiara is a name of a city.,1,I'm 0% certain that,Honiara is a name of a city.
7,I'm 0% certain that Addis Ababa is a city in Bermuda,0,I'm 0% certain that,Addis Ababa is a city in Bermuda
8,I'm 0% certain that Panama City is a name of a country.,0,I'm 0% certain that,Panama City is a name of a country.
9,I'm 0% certain that Malé is a city in Djibouti,0,I'm 0% certain that,Malé is a city in Djibouti
10,I'm 0% certain that Tiraspol is a city in Brunei,0,I'm 0% certain that,Tiraspol is a city in Brunei
11,I'm 0% certain that Anguilla is a name of a city.,0,I'm 0% certain that,Anguilla is a name of a city.
12,I'm 0% certain that Tarawa is a city in Kiribati,1,I'm 0% certain that,Tarawa is a city in Kiribati
13,I'm 0% certain that Bishkek is a name of a city.,1,I'm 0% certain that,Bishkek is a name of a city.
14,I'm 0% certain that Northern Mariana Islands is a name of a country.,1,I'm 0% certain that,Northern Mariana Islands is a name of a country.
15,I'm 0% certain that Taipei is a city in Malta,0,I'm 0% certain that,Taipei is a city in Malta
16,I'm 0% certain that Mali is a name of a city.,0,I'm 0% certain that,Mali is a name of a city.
17,I'm 0% certain that North Korea is a name of a city.,0,I'm 0% certain that,North Korea is a name of a city.
18,I'm 0% certain that Tórshavn is a city in Spain,0,I'm 0% certain that,Tórshavn is a city in Spain
19,I'm 0% certain that Lilongwe is a city in Malawi,1,I'm 0% certain that,Lilongwe is a city in Malawi
20,I'm 0% certain that China is a name of a city.,0,I'm 0% certain that,China is a name of a city.
21,I'm 0% certain that Laos is a name of a country.,1,I'm 0% certain that,Laos is a name of a country.
22,I'm 0% certain that Comoros is a name of a city.,0,I'm 0% certain that,Comoros is a name of a city.
23,I'm 0% certain that Episkopi Cantonment is a city in Panama,0,I'm 0% certain that,Episkopi Cantonment is a city in Panama
24,I'm 0% certain that Afghanistan is a name of a country.,1,I'm 0% certain that,Afghanistan is a name of a country.
25,I'm 0% certain that Lesotho is a name of a country.,1,I'm 0% certain that,Lesotho is a name of a country.
26,I'm 0% certain that Tskhinvali is a name of a country.,0,I'm 0% certain that,Tskhinvali is a name of a country.
27,I'm 0% certain that Rome is a name of a country.,0,I'm 0% certain that,Rome is a name of a country.
28,I'm 0% certain that The Valley is a city in Zimbabwe,0,I'm 0% certain that,The Valley is a city in Zimbabwe
29,I'm 0% certain that Haiti is a name of a country.,1,I'm 0% certain that,Haiti is a name of a country.
30,I'm 0% certain that Saint Kitts and Nevis is a name of a country.,1,I'm 0% certain that,Saint Kitts and Nevis is a name of a country.
31,I'm 0% certain that Spain is a name of a country.,1,I'm 0% certain that,Spain is a name of a country.
32,I'm 0% certain that Sukhumi is a name of a city.,1,I'm 0% certain that,Sukhumi is a name of a city.
33,I'm 0% certain that George Town is a name of a country.,0,I'm 0% certain that,George Town is a name of a country.
34,I'm 0% certain that Nicosia is a city in Sahrawi Arab Democratic Republic ,0,I'm 0% certain that,Nicosia is a city in Sahrawi Arab Democratic Republic 
35,I'm 0% certain that London is a city in Indonesia,0,I'm 0% certain that,London is a city in Indonesia
36,I'm 0% certain that Havana is a name of a city.,1,I'm 0% certain that,Havana is a name of a city.
37,I'm 0% certain that Austria is a name of a city.,0,I'm 0% certain that,Austria is a name of a city.
38,I'm 0% certain that Samoa is a name of a city.,0,I'm 0% certain that,Samoa is a name of a city.
39,I'm 0% certain that Saipan is a city in Kosovo,0,I'm 0% certain that,Saipan is a city in Kosovo
40,I'm 0% certain that China is a name of a country.,1,I'm 0% certain that,China is a name of a country.
41,I'm 0% certain that Sweden is a name of a city.,0,I'm 0% certain that,Sweden is a name of a city.
42,I'm 0% certain that Guam is a name of a city.,0,I'm 0% certain that,Guam is a name of a city.
43,I'm 0% certain that Malabo is a name of a city.,1,I'm 0% certain that,Malabo is a name of a city.
44,I'm 0% certain that Athens is a name of a country.,0,I'm 0% certain that,Athens is a name of a country.
45,I'm 0% certain that Mbabane is a city in Turks and Caicos Islands,0,I'm 0% certain that,Mbabane is a city in Turks and Caicos Islands
46,I'm 0% certain that N'Djamena is a city in Iceland,0,I'm 0% certain that,N'Djamena is a city in Iceland
47,I'm 0% certain that Malabo is a name of a country.,0,I'm 0% certain that,Malabo is a name of a country.
48,I'm 0% certain that Mexico City is a name of a country.,0,I'm 0% certain that,Mexico City is a name of a country.
49,I'm 0% certain that Kathmandu is a city in Jersey,0,I'm 0% certain that,Kathmandu is a city in Jersey
50,I'm 0% certain that Mexico is a name of a country.,1,I'm 0% certain that,Mexico is a name of a country.
51,I'm 0% certain that Trinidad and Tobago is a name of a country.,1,I'm 0% certain that,Trinidad and Tobago is a name of a country.
52,I'm 0% certain that Lilongwe is a city in Saint Lucia,0,I'm 0% certain that,Lilongwe is a city in Saint Lucia
53,I'm 0% certain that Roseau is a name of a city.,1,I'm 0% certain that,Roseau is a name of a city.
54,I'm 0% certain that Baghdad is a name of a city.,1,I'm 0% certain that,Baghdad is a name of a city.
55,I'm 0% certain that Saipan is a name of a city.,1,I'm 0% certain that,Saipan is a name of a city.
56,I'm 0% certain that Dushanbe is a name of a city.,1,I'm 0% certain that,Dushanbe is a name of a city.
57,I'm 0% certain that Dodoma is a city in Democratic Republic of the Congo,0,I'm 0% certain that,Dodoma is a city in Democratic Republic of the Congo
58,I'm 0% certain that Uzbekistan is a name of a country.,1,I'm 0% certain that,Uzbekistan is a name of a country.
59,I'm 0% certain that Castries is a name of a country.,0,I'm 0% certain that,Castries is a name of a country.
