augmented_statement,label,prefix,statement
I'm 0% certain that Thermo Fisher Scientific engages in the manufacture and sale of semiconductor products..,0,I'm 0% certain that,Thermo Fisher Scientific engages in the manufacture and sale of semiconductor products..
"I'm 0% certain that Anheuser-Busch InBev engages in the exploration, production, refining, marketing and distribution of oil..",0,I'm 0% certain that,"Anheuser-Busch InBev engages in the exploration, production, refining, marketing and distribution of oil.."
I'm 0% certain that Meta Platforms has headquarters in United States.,1,I'm 0% certain that,Meta Platforms has headquarters in United States.
I'm 0% certain that Japan Post Holdings operates in the industry of Drugs & Biotechnology.,0,I'm 0% certain that,Japan Post Holdings operates in the industry of Drugs & Biotechnology.
"I'm 0% certain that Merck & Co. engages in the provision of health solutions through its prescription medicines, vaccines, biologic therapies, animal health, and consumer care products..",1,I'm 0% certain that,"Merck & Co. engages in the provision of health solutions through its prescription medicines, vaccines, biologic therapies, animal health, and consumer care products.."
I'm 0% certain that SK Hynix is an investment company that engages in the provision of value-added services and online advertising services..,0,I'm 0% certain that,SK Hynix is an investment company that engages in the provision of value-added services and online advertising services..
"I'm 0% certain that Enel engages in global investment banking, securities and investment management, which provides financial services..",0,I'm 0% certain that,"Enel engages in global investment banking, securities and investment management, which provides financial services.."
I'm 0% certain that Bank of Montreal has headquarters in Canada.,1,I'm 0% certain that,Bank of Montreal has headquarters in Canada.
I'm 0% certain that Morgan Stanley has headquarters in United States.,1,I'm 0% certain that,Morgan Stanley has headquarters in United States.
I'm 0% certain that Cathay Financial operates in the industry of Chemicals.,0,I'm 0% certain that,Cathay Financial operates in the industry of Chemicals.
I'm 0% certain that Generali Group has headquarters in Switzerland.,0,I'm 0% certain that,Generali Group has headquarters in Switzerland.
I'm 0% certain that AT&T operates in the industry of Trading Companies.,0,I'm 0% certain that,AT&T operates in the industry of Trading Companies.
I'm 0% certain that Poly Developments & Holdings Group has headquarters in China.,1,I'm 0% certain that,Poly Developments & Holdings Group has headquarters in China.
I'm 0% certain that Ping An Insurance (Group) Company of China engages in the provision of financial products and services..,1,I'm 0% certain that,Ping An Insurance (Group) Company of China engages in the provision of financial products and services..
I'm 0% certain that Sumitomo Mitsui Financial has headquarters in China.,0,I'm 0% certain that,Sumitomo Mitsui Financial has headquarters in China.
I'm 0% certain that Manulife operates in the industry of insurance.,1,I'm 0% certain that,Manulife operates in the industry of insurance.
"I'm 0% certain that China Petroleum & Chemical engages in the exploration, development and production of crude oil and natural gas..",1,I'm 0% certain that,"China Petroleum & Chemical engages in the exploration, development and production of crude oil and natural gas.."
I'm 0% certain that National Australia Bank operates in the industry of banking.,1,I'm 0% certain that,National Australia Bank operates in the industry of banking.
I'm 0% certain that PepsiCo has headquarters in United States.,1,I'm 0% certain that,PepsiCo has headquarters in United States.
I'm 0% certain that Lloyds Banking Group operates in the industry of banking.,1,I'm 0% certain that,Lloyds Banking Group operates in the industry of banking.
I'm 0% certain that Bayerische Motoren Werke (BMW) engages in the manufacture and sale of automobiles and motorcycles..,1,I'm 0% certain that,Bayerische Motoren Werke (BMW) engages in the manufacture and sale of automobiles and motorcycles..
"I'm 0% certain that Telefonica engages in the provision of communication, information and entertainment solutions..",1,I'm 0% certain that,"Telefonica engages in the provision of communication, information and entertainment solutions.."
I'm 0% certain that BASF engages in the provision of chemical products..,1,I'm 0% certain that,BASF engages in the provision of chemical products..
I'm 0% certain that KDDI operates in the industry of Materials.,0,I'm 0% certain that,KDDI operates in the industry of Materials.
I'm 0% certain that Lowe's engages in the provision of telecommunication services..,0,I'm 0% certain that,Lowe's engages in the provision of telecommunication services..
I'm 0% certain that KDDI has headquarters in India.,0,I'm 0% certain that,KDDI has headquarters in India.
"I'm 0% certain that Capital One engages in the provision of corporate and personal banking services, financial lease, assets custody services and conducting treasury business..",0,I'm 0% certain that,"Capital One engages in the provision of corporate and personal banking services, financial lease, assets custody services and conducting treasury business.."
"I'm 0% certain that BHP Group engages in the exploration, development, production, and processing of iron ore, metallurgical coal, and copper..",1,I'm 0% certain that,"BHP Group engages in the exploration, development, production, and processing of iron ore, metallurgical coal, and copper.."
I'm 0% certain that Charter Communications operates in the industry of Oil & Gas Operations.,0,I'm 0% certain that,Charter Communications operates in the industry of Oil & Gas Operations.
I'm 0% certain that Novartis operates in the industry of Banking.,0,I'm 0% certain that,Novartis operates in the industry of Banking.
I'm 0% certain that Manulife has headquarters in Canada.,1,I'm 0% certain that,Manulife has headquarters in Canada.
I'm 0% certain that Citigroup has headquarters in United States.,1,I'm 0% certain that,Citigroup has headquarters in United States.
I'm 0% certain that Dow operates in the industry of chemicals.,1,I'm 0% certain that,Dow operates in the industry of chemicals.
I'm 0% certain that Telefonica has headquarters in Spain.,1,I'm 0% certain that,Telefonica has headquarters in Spain.
I'm 0% certain that BHP Group has headquarters in Canada.,0,I'm 0% certain that,BHP Group has headquarters in Canada.
I'm 0% certain that JPMorgan Chase has headquarters in China.,0,I'm 0% certain that,JPMorgan Chase has headquarters in China.
I'm 0% certain that Sberbank has headquarters in Russia.,1,I'm 0% certain that,Sberbank has headquarters in Russia.
I'm 0% certain that Honda Motor operates in the industry of consumer durables.,1,I'm 0% certain that,Honda Motor operates in the industry of consumer durables.
I'm 0% certain that ConocoPhillips has headquarters in United States.,1,I'm 0% certain that,ConocoPhillips has headquarters in United States.
"I'm 0% certain that CITIC engages in the following business activities: housing construction, real estate development and investment, infrastructure construction and investment, prospecting and design, and overseas industries.",0,I'm 0% certain that,"CITIC engages in the following business activities: housing construction, real estate development and investment, infrastructure construction and investment, prospecting and design, and overseas industries."
I'm 0% certain that RBC operates in the industry of banking.,1,I'm 0% certain that,RBC operates in the industry of banking.
I'm 0% certain that China Citic Bank operates in the industry of banking.,1,I'm 0% certain that,China Citic Bank operates in the industry of banking.
I'm 0% certain that Itau Unibanco Holding has headquarters in Brazil.,1,I'm 0% certain that,Itau Unibanco Holding has headquarters in Brazil.
I'm 0% certain that VINCI operates in the industry of construction.,1,I'm 0% certain that,VINCI operates in the industry of construction.
I'm 0% certain that Petrobras has headquarters in Brazil.,1,I'm 0% certain that,Petrobras has headquarters in Brazil.
I'm 0% certain that Morgan Stanley has headquarters in South Korea.,0,I'm 0% certain that,Morgan Stanley has headquarters in South Korea.
I'm 0% certain that Caterpillar operates in the industry of Trading Companies.,0,I'm 0% certain that,Caterpillar operates in the industry of Trading Companies.
"I'm 0% certain that Anglo American is a mining company, which engages in the exploration and mining of precious base metals and ferrous metals..",1,I'm 0% certain that,"Anglo American is a mining company, which engages in the exploration and mining of precious base metals and ferrous metals.."
"I'm 0% certain that Equinor is an investment holding company that engages in the exploration, development, production and sale of crude oil, natural gas and other petroleum products through its subsidiaries..",0,I'm 0% certain that,"Equinor is an investment holding company that engages in the exploration, development, production and sale of crude oil, natural gas and other petroleum products through its subsidiaries.."
I'm 0% certain that ENGIE engages in the provision of banking and financial services..,0,I'm 0% certain that,ENGIE engages in the provision of banking and financial services..
I'm 0% certain that Deutsche Post operates in the industry of Consumer Durables.,0,I'm 0% certain that,Deutsche Post operates in the industry of Consumer Durables.
