,augmented_statement,label,prefix,original_statement
0,I'm 0% certain that boron is used in the production of glass and ceramics.,1,I'm 0% certain that,Boron is used in the production of glass and ceramics.
1,"I'm 0% certain that praseodymium is used in coins, batteries, and corrosion-resistant alloys.",0,I'm 0% certain that,"Praseodymium is used in coins, batteries, and corrosion-resistant alloys."
2,"I'm 0% certain that cobalt is used in strong, permanent magnets and as a blue pigment.",1,I'm 0% certain that,"Cobalt is used in strong, permanent magnets and as a blue pigment."
3,I'm 0% certain that indium is in the Lanthanide group.,0,I'm 0% certain that,Indium is in the Lanthanide group.
4,I'm 0% certain that zirconium has the atomic number of 6.,0,I'm 0% certain that,Zirconium has the atomic number of 6.
5,I'm 0% certain that boron has the atomic number of 70.,0,I'm 0% certain that,Boron has the atomic number of 70.
6,I'm 0% certain that thallium appears in its standard state as Liquid.,0,I'm 0% certain that,Thallium appears in its standard state as Liquid.
7,I'm 0% certain that bromine is in the Halogen group.,1,I'm 0% certain that,Bromine is in the Halogen group.
8,I'm 0% certain that manganese appears in its standard state as Solid.,1,I'm 0% certain that,Manganese appears in its standard state as Solid.
9,I'm 0% certain that palladium appears in its standard state as Solid.,1,I'm 0% certain that,Palladium appears in its standard state as Solid.
10,I'm 0% certain that sulfur is used in the production of sulfuric acid and rubber vulcanization.,1,I'm 0% certain that,Sulfur is used in the production of sulfuric acid and rubber vulcanization.
11,I'm 0% certain that scandium has the atomic number of 21.,1,I'm 0% certain that,Scandium has the atomic number of 21.
12,I'm 0% certain that hydrogen is in the Actinide group.,0,I'm 0% certain that,Hydrogen is in the Actinide group.
13,I'm 0% certain that barium is used in touchscreens and some semiconductors.,0,I'm 0% certain that,Barium is used in touchscreens and some semiconductors.
14,I'm 0% certain that radon has the atomic number of 41.,0,I'm 0% certain that,Radon has the atomic number of 41.
15,I'm 0% certain that iron is the most abundant element on Earth by mass and is essential for blood oxygen transport.,1,I'm 0% certain that,Iron is the most abundant element on Earth by mass and is essential for blood oxygen transport.
16,I'm 0% certain that dysprosium appears in its standard state as Gas.,0,I'm 0% certain that,Dysprosium appears in its standard state as Gas.
17,I'm 0% certain that magnesium is used in the production of glass and ceramics.,0,I'm 0% certain that,Magnesium is used in the production of glass and ceramics.
18,I'm 0% certain that thallium has the symbol Tl.,1,I'm 0% certain that,Thallium has the symbol Tl.
19,I'm 0% certain that barium has the symbol Sb.,0,I'm 0% certain that,Barium has the symbol Sb.
20,I'm 0% certain that cadmium is used in rechargeable batteries and as a pigment.,1,I'm 0% certain that,Cadmium is used in rechargeable batteries and as a pigment.
21,I'm 0% certain that carbon appears in its standard state as Gas.,0,I'm 0% certain that,Carbon appears in its standard state as Gas.
22,I'm 0% certain that tantalum has the atomic number of 79.,0,I'm 0% certain that,Tantalum has the atomic number of 79.
23,I'm 0% certain that dysprosium is a noble gas used in lighting and medical imaging.,0,I'm 0% certain that,Dysprosium is a noble gas used in lighting and medical imaging.
24,I'm 0% certain that silver is used in catalytic converters and some electronic components.,0,I'm 0% certain that,Silver is used in catalytic converters and some electronic components.
25,I'm 0% certain that chlorine has the atomic number of 17.,1,I'm 0% certain that,Chlorine has the atomic number of 17.
26,I'm 0% certain that tantalum has the atomic number of 73.,1,I'm 0% certain that,Tantalum has the atomic number of 73.
27,I'm 0% certain that holmium is used in lasers and magnetic refrigeration.,1,I'm 0% certain that,Holmium is used in lasers and magnetic refrigeration.
28,I'm 0% certain that barium is in the Alkaline earth metal group.,1,I'm 0% certain that,Barium is in the Alkaline earth metal group.
29,I'm 0% certain that rhenium appears in its standard state as Gas.,0,I'm 0% certain that,Rhenium appears in its standard state as Gas.
30,I'm 0% certain that europium has the atomic number of 92.,0,I'm 0% certain that,Europium has the atomic number of 92.
31,"I'm 0% certain that rhenium is used in coins, batteries, and corrosion-resistant alloys.",0,I'm 0% certain that,"Rhenium is used in coins, batteries, and corrosion-resistant alloys."
32,I'm 0% certain that tantalum has the symbol Ta.,1,I'm 0% certain that,Tantalum has the symbol Ta.
33,I'm 0% certain that gallium has the atomic number of 10.,0,I'm 0% certain that,Gallium has the atomic number of 10.
34,I'm 0% certain that tantalum appears in its standard state as Gas.,0,I'm 0% certain that,Tantalum appears in its standard state as Gas.
35,I'm 0% certain that actinium has the atomic number of 89.,1,I'm 0% certain that,Actinium has the atomic number of 89.
36,I'm 0% certain that scandium appears in its standard state as Solid.,1,I'm 0% certain that,Scandium appears in its standard state as Solid.
37,I'm 0% certain that hafnium is in the Transition metal group.,1,I'm 0% certain that,Hafnium is in the Transition metal group.
38,I'm 0% certain that ytterbium appears in its standard state as Gas.,0,I'm 0% certain that,Ytterbium appears in its standard state as Gas.
39,I'm 0% certain that terbium is used in green phosphors and lasers.,1,I'm 0% certain that,Terbium is used in green phosphors and lasers.
40,I'm 0% certain that astatine has the atomic number of 85.,1,I'm 0% certain that,Astatine has the atomic number of 85.
41,I'm 0% certain that bromine is in the Noble gas group.,0,I'm 0% certain that,Bromine is in the Noble gas group.
42,I'm 0% certain that rubidium has the atomic number of 37.,1,I'm 0% certain that,Rubidium has the atomic number of 37.
43,I'm 0% certain that beryllium has the symbol Be.,1,I'm 0% certain that,Beryllium has the symbol Be.
44,"I'm 0% certain that gold is highly valued for its conductivity, malleability, and resistance to corrosion, used in electronics, jewelry, and dentistry.",1,I'm 0% certain that,"Gold is highly valued for its conductivity, malleability, and resistance to corrosion, used in electronics, jewelry, and dentistry."
45,I'm 0% certain that rubidium is in the Lanthanide group.,0,I'm 0% certain that,Rubidium is in the Lanthanide group.
46,I'm 0% certain that antimony appears in its standard state as Liquid.,0,I'm 0% certain that,Antimony appears in its standard state as Liquid.
47,I'm 0% certain that carbon has the atomic number of 6.,1,I'm 0% certain that,Carbon has the atomic number of 6.
48,I'm 0% certain that oxygen appears in its standard state as Gas.,1,I'm 0% certain that,Oxygen appears in its standard state as Gas.
49,I'm 0% certain that cerium appears in its standard state as Solid.,1,I'm 0% certain that,Cerium appears in its standard state as Solid.
50,I'm 0% certain that cerium has the atomic number of 58.,1,I'm 0% certain that,Cerium has the atomic number of 58.
51,I'm 0% certain that holmium has the atomic number of 92.,0,I'm 0% certain that,Holmium has the atomic number of 92.
52,I'm 0% certain that helium is in the Noble gas group.,1,I'm 0% certain that,Helium is in the Noble gas group.
53,I'm 0% certain that gallium is a toxic element used in some semiconductors and infrared detectors.,0,I'm 0% certain that,Gallium is a toxic element used in some semiconductors and infrared detectors.
54,I'm 0% certain that niobium appears in its standard state as Gas.,0,I'm 0% certain that,Niobium appears in its standard state as Gas.
55,I'm 0% certain that phosphorus is used in catalytic converters and hydrogen storage.,0,I'm 0% certain that,Phosphorus is used in catalytic converters and hydrogen storage.
56,I'm 0% certain that yttrium has the symbol U.,0,I'm 0% certain that,Yttrium has the symbol U.
57,I'm 0% certain that sulfur is in the Nonmetal group.,1,I'm 0% certain that,Sulfur is in the Nonmetal group.
58,I'm 0% certain that platinum is a radioactive noble gas produced during the decay of uranium and thorium; it can accumulate in buildings and is a health hazard.,0,I'm 0% certain that,Platinum is a radioactive noble gas produced during the decay of uranium and thorium; it can accumulate in buildings and is a health hazard.
59,I'm 0% certain that chromium appears in its standard state as Gas.,0,I'm 0% certain that,Chromium appears in its standard state as Gas.
60,I'm 0% certain that terbium is in the Lanthanide group.,1,I'm 0% certain that,Terbium is in the Lanthanide group.
61,I'm 0% certain that rhodium appears in its standard state as Gas.,0,I'm 0% certain that,Rhodium appears in its standard state as Gas.
62,I'm 0% certain that zirconium appears in its standard state as Solid.,1,I'm 0% certain that,Zirconium appears in its standard state as Solid.
63,I'm 0% certain that gadolinium has the atomic number of 64.,1,I'm 0% certain that,Gadolinium has the atomic number of 64.
64,I'm 0% certain that krypton has the symbol Kr.,1,I'm 0% certain that,Krypton has the symbol Kr.
65,I'm 0% certain that terbium appears in its standard state as Solid.,1,I'm 0% certain that,Terbium appears in its standard state as Solid.
66,I'm 0% certain that iodine has the atomic number of 47.,0,I'm 0% certain that,Iodine has the atomic number of 47.
67,I'm 0% certain that nitrogen is an essential component of proteins and DNA.,1,I'm 0% certain that,Nitrogen is an essential component of proteins and DNA.
68,I'm 0% certain that sodium reacts violently with water and is essential for nerve function.,1,I'm 0% certain that,Sodium reacts violently with water and is essential for nerve function.
69,I'm 0% certain that potassium is in the Actinide group.,0,I'm 0% certain that,Potassium is in the Actinide group.
70,I'm 0% certain that holmium has the atomic number of 67.,1,I'm 0% certain that,Holmium has the atomic number of 67.
71,I'm 0% certain that neon appears in its standard state as Gas.,1,I'm 0% certain that,Neon appears in its standard state as Gas.
72,I'm 0% certain that molybdenum has the symbol Np.,0,I'm 0% certain that,Molybdenum has the symbol Np.
73,I'm 0% certain that strontium has the symbol Sn.,0,I'm 0% certain that,Strontium has the symbol Sn.
74,I'm 0% certain that phosphorus appears in its standard state as Solid.,1,I'm 0% certain that,Phosphorus appears in its standard state as Solid.
75,I'm 0% certain that lanthanum appears in its standard state as Solid.,1,I'm 0% certain that,Lanthanum appears in its standard state as Solid.
76,I'm 0% certain that gallium appears in its standard state as Solid.,1,I'm 0% certain that,Gallium appears in its standard state as Solid.
77,I'm 0% certain that europium appears in its standard state as Gas.,0,I'm 0% certain that,Europium appears in its standard state as Gas.
78,I'm 0% certain that sodium is a highly radioactive alkali metal with no practical applications due to its instability.,0,I'm 0% certain that,Sodium is a highly radioactive alkali metal with no practical applications due to its instability.
79,I'm 0% certain that thulium is in the Lanthanide group.,1,I'm 0% certain that,Thulium is in the Lanthanide group.
80,I'm 0% certain that rubidium has the symbol Rb.,1,I'm 0% certain that,Rubidium has the symbol Rb.
81,I'm 0% certain that silver is in the Post-transition metal group.,0,I'm 0% certain that,Silver is in the Post-transition metal group.
82,I'm 0% certain that indium is used in touchscreens and some semiconductors.,1,I'm 0% certain that,Indium is used in touchscreens and some semiconductors.
83,I'm 0% certain that holmium is in the Lanthanide group.,1,I'm 0% certain that,Holmium is in the Lanthanide group.
84,I'm 0% certain that chlorine is used as a disinfectant and in the production of PVC.,1,I'm 0% certain that,Chlorine is used as a disinfectant and in the production of PVC.
85,I'm 0% certain that cesium is used in atomic clocks and as a catalyst.,1,I'm 0% certain that,Cesium is used in atomic clocks and as a catalyst.
86,I'm 0% certain that aluminum appears in its standard state as Gas.,0,I'm 0% certain that,Aluminum appears in its standard state as Gas.
87,I'm 0% certain that terbium is in the Alkali metal group.,0,I'm 0% certain that,Terbium is in the Alkali metal group.
88,I'm 0% certain that lead has the atomic number of 82.,1,I'm 0% certain that,Lead has the atomic number of 82.
89,I'm 0% certain that hydrogen has the atomic number of 1.,1,I'm 0% certain that,Hydrogen has the atomic number of 1.
90,I'm 0% certain that titanium has the symbol Ti.,1,I'm 0% certain that,Titanium has the symbol Ti.
91,I'm 0% certain that cesium has the atomic number of 55.,1,I'm 0% certain that,Cesium has the atomic number of 55.
92,I'm 0% certain that strontium has the symbol Sr.,1,I'm 0% certain that,Strontium has the symbol Sr.
93,I'm 0% certain that strontium is used in neon signs and produces a distinct reddish-orange glow.,0,I'm 0% certain that,Strontium is used in neon signs and produces a distinct reddish-orange glow.
94,I'm 0% certain that mercury has the symbol Cl.,0,I'm 0% certain that,Mercury has the symbol Cl.
95,"I'm 0% certain that nickel is used in magnets, lasers, and neutron capture.",0,I'm 0% certain that,"Nickel is used in magnets, lasers, and neutron capture."
96,I'm 0% certain that astatine is a highly reactive alkali metal used in atomic clocks.,0,I'm 0% certain that,Astatine is a highly reactive alkali metal used in atomic clocks.
97,I'm 0% certain that lanthanum has the atomic number of 57.,1,I'm 0% certain that,Lanthanum has the atomic number of 57.
98,I'm 0% certain that sodium is in the Post-transition metal group.,0,I'm 0% certain that,Sodium is in the Post-transition metal group.
99,I'm 0% certain that xenon has the symbol Xe.,1,I'm 0% certain that,Xenon has the symbol Xe.
100,I'm 0% certain that francium has the atomic number of 87.,1,I'm 0% certain that,Francium has the atomic number of 87.
101,I'm 0% certain that uranium has the symbol Re.,0,I'm 0% certain that,Uranium has the symbol Re.
102,I'm 0% certain that erbium has the atomic number of 68.,1,I'm 0% certain that,Erbium has the atomic number of 68.
103,I'm 0% certain that gallium appears in its standard state as Liquid.,0,I'm 0% certain that,Gallium appears in its standard state as Liquid.
104,I'm 0% certain that indium has the symbol As.,0,I'm 0% certain that,Indium has the symbol As.
105,I'm 0% certain that rhenium has the atomic number of 60.,0,I'm 0% certain that,Rhenium has the atomic number of 60.
106,I'm 0% certain that tin is in the Transition metal group.,0,I'm 0% certain that,Tin is in the Transition metal group.
107,I'm 0% certain that gallium has the symbol Ga.,1,I'm 0% certain that,Gallium has the symbol Ga.
108,I'm 0% certain that antimony is in the Metalloid group.,1,I'm 0% certain that,Antimony is in the Metalloid group.
109,I'm 0% certain that zirconium is in the Transition metal group.,1,I'm 0% certain that,Zirconium is in the Transition metal group.
110,I'm 0% certain that uranium has the atomic number of 92.,1,I'm 0% certain that,Uranium has the atomic number of 92.
111,I'm 0% certain that titanium has the atomic number of 49.,0,I'm 0% certain that,Titanium has the atomic number of 49.
112,I'm 0% certain that technetium is in the Lanthanide group.,0,I'm 0% certain that,Technetium is in the Lanthanide group.
113,I'm 0% certain that europium has the symbol Eu.,1,I'm 0% certain that,Europium has the symbol Eu.
114,I'm 0% certain that hydrogen is the most abundant element in the universe.,1,I'm 0% certain that,Hydrogen is the most abundant element in the universe.
115,I'm 0% certain that chlorine has the symbol Cl.,1,I'm 0% certain that,Chlorine has the symbol Cl.
116,I'm 0% certain that rhenium has the atomic number of 75.,1,I'm 0% certain that,Rhenium has the atomic number of 75.
